0	0,5,5	10
117	1,5,5	32
301	1,4,5	25
309	0,5,5	10
701	-1,5,5	33
1213	-2,5,5	57
1242	-3,5,5	81
1291	-3,4,5	74
1411	-3,5,5	81
1432	-3,5,4	79
1552	-3,5,5	81
1697	-3,5,4	79
1707	-2,5,5	57
1842	-2,4,5	50
1842	-2,4,4	48
1962	-2,5,4	55
1962	-2,5,5	57
2085	-2,5,4	55
2120	-1,5,5	33
2395	-2,5,5	57
2532	-2,5,4	55
2598	-2,5,3	53
2626	-1,5,4	31
2707	-1,4,4	24
2718	-1,4,5	26
2827	-1,5,5	33
2861	0,5,5	10
