0,5,5	0
1,5,5	117
1,4,5	301
0,5,5	309
-1,5,5	701
-2,5,5	1213
-3,5,5	1242
-3,4,5	1291
-3,5,5	1411
-3,5,4	1432
-3,5,5	1552
-3,5,4	1697
-2,5,5	1707
-2,4,5	1842
-2,4,4	1842
-2,5,4	1962
-2,5,5	1962
-2,5,4	2085
-1,5,5	2120
-2,5,5	2395
-2,5,4	2532
-2,5,3	2598
-1,5,4	2626
-1,4,4	2707
-1,4,5	2718
-1,5,5	2827
0,5,5	2861
